id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
87982701,8953707457681,"Pin Nút Áo CR2032 BR2032 DL2032 ECR2032 Lithium 3V CR 2032 220mAh (5 Viên) Pin Cho Đồng Hồ Điện Tử/ Đồ Chơi Điều Khiển Từ Xa/ Đèn Xe ĐạpPin CR2032 cũng được biết đến như: DL2032, ECR2032, 5004LC, KC...",27000,27000,,0,0,10,,available,,1000,1000,,408443,Mai Lee
72829989,7069421480313,"LÁ DIỆP PHẬTLá Diệp Phật đem lại may mắn, chiêu tài, giữ lộc, gia đạo bình anLÁ DIỆP PHẬT DÀNH CHO NHỮNG AI- Thường cảm giác mệt mỏi, thiếu sức sống. Yếu bóng vía, tinh thần hay sao lãng, hay bị bó...",39000,39000,,0,0,4,,available,,1000,1000,,4647777,Ngọc Quý
73464817,1126891972697,"GÍA KỆ TREO TƯỜNG ĐỂ GIA VỊ TIỆN LỢI - KÈM KEO DÁN CHUYÊN DỤNG, ĐINH VÍT (NẾU CẦN KHOAN)Chất liệu Thép Carbon cao cấp, mài mịn trơn truKhông rỉ sét, chống oxy hóa, bền bỉ sử dụng hơn 10 năm.Vệ sinh...",99000,141000,,42000,30,447,,available,,1000,1000,,204895,VANDO
59425995,6820203827334,"Bộ ga gối Cotton tici ( hay còn gọi là cotton thô, hay cotton đũi). Chất liệu vải cotton đũi dày, hoặc vải thô, (cotton 90%, đũi 10%). Vải dày dặn, đanh, thoáng mát, thấm hút mồ hôi, không bai, không ...",159000,229000,,70000,31,156,,available,,1000,1000,,697923,LIDACO
73314056,9413656609144,Dụng cu xay tiêu cầm tay viền Inox 304 HOBBY XT - 2 mẫu tùy chọn - xay được tiêu muối - lõi bằng sứVideo sử dụng thực tế:Thông tin kỹ thuậtViền Inox 304 không rỉ sétLõi bằng sứCó thể nghiền t...,65000,99000,,34000,34,197,,available,,1000,1000,,230607,Hobby Home Decor
191918107,1171170118704,Dung tích bình lớnBình lắc LocknLock Balance Shake It Bottle HAP949 với dung tích bình 800ml giúp cung cấp đầy đủ lượng nước cho cơ thể.Thang đo lườngVạch chia dung tích trên thân bình cho phép bạn...,145000,267000,,122000,46,92,,available,,1000,1000,,48077,LocknLock
88914388,1990181790360,"Bộ 04 Chân Đế Cao Su Chống Rung Máy Giặt - HT SYS - Đế Chống Rung Máy Giặt - Đế Chống Ồn Máy Giặt, Máy Sấy,Tủ Lạnh, Bàn Ghế + Sét 3 Móc Dính Dán Tường Vàng Tài Lộc HT SYSChân máy giặt HT SYS là một...",83000,139000,,56000,40,322,,available,,1000,1000,,737237,HT SYS
181223364,6730895504723,Bộ vòi xịt vệ sinh toilet kèm giá treo và dây lò xo co giãn HOBBY Home Decor VSR2 inox 304 ren chờ 21mmThông tin kỹ thuậtChất liệu Inox 304 xước cho vòi xịtDây sen nhựa mềm dài cơ sơ 2m - kéo dài...,148000,229000,,81000,35,81,,available,,1000,1000,,230607,Hobby Home Decor
81936258,8892350030407,Hộp đựng quần áo gấp gọn có nắp Morning House - Size SKích thước: 15x20x25cmMàu sắc: KemChất liệu: Vải polyester tráng phủ polymer chống thấm nướcTúi đựng đồ đa năng kết cấu hình chữ nhật ...,50000,50000,,0,0,15,,available,,1000,1000,,4065253,Morninghouse
42759652,3781092402176,Chốt cửa dây xích an toàn inox 304 gắn cửa HOBBY Home Decor KLC bảo vệ phòng cho chung cư phòng ngủ không rỉ sétDây chốt cửa an toàn của HOBBY Home Decor KLC1 giúp bạn bảo vệ nhà cửa an toàn khi có t...,82000,129000,,47000,36,88,,available,,1000,1000,,230607,Hobby Home Decor
